date,store_id,store_region,sku_id,category,our_price,competitor_price,unit_cost,promotion_flag,is_holiday,available_stock,units_sold,stockout_flag
2024-01-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.12,10.91,5.49,0,0,124,40,0
2024-01-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.7,10.67,5.49,0,0,75,48,0
2024-01-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.19,10.72,5.49,0,0,82,82,1
2024-01-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.73,10.76,5.49,0,0,78,53,0
2024-01-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.96,10.8,5.49,0,0,54,34,0
2024-01-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.96,10.68,5.49,0,0,92,56,0
2024-01-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.82,10.68,5.49,0,0,96,46,0
2024-01-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.98,10.73,5.49,0,0,96,42,0
2024-01-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.2,10.69,5.49,0,0,106,30,0
2024-01-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.78,10.5,5.49,0,0,170,78,0
2024-01-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.11,10.51,5.49,0,0,97,71,0
2024-01-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.82,10.49,5.49,0,0,94,48,0
2024-01-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.86,10.43,5.49,0,0,81,42,0
2024-01-31,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.77,10.33,5.49,0,0,94,45,0
2024-02-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.85,10.38,5.49,0,1,139,59,0
2024-02-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.63,10.27,5.49,0,1,143,46,0
2024-02-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.62,10.33,5.49,0,1,135,78,0
2024-02-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.67,10.38,5.49,0,1,162,61,0
2024-02-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.61,10.41,5.49,0,0,111,68,0
2024-02-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.8,10.36,5.49,1,0,109,64,0
2024-02-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.39,10.42,5.49,0,0,57,57,1
2024-02-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.95,10.32,5.49,0,0,117,56,0
2024-02-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.32,10.24,5.49,0,0,96,89,0
2024-02-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.64,10.19,5.49,0,0,114,51,0
2024-02-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.71,10.28,5.49,0,0,91,57,0
2024-02-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.58,10.51,5.49,0,0,73,55,0
2024-02-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.94,10.47,5.49,0,0,101,43,0
2024-02-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.28,10.4,5.49,0,0,114,45,0
2024-02-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.99,10.45,5.49,0,0,115,74,0
2024-02-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.12,10.64,5.49,0,0,138,76,0
2024-02-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.0,10.34,5.49,1,0,187,87,0
2024-02-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.82,10.23,5.49,0,0,114,73,0
2024-02-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.49,10.08,5.49,0,0,91,38,0
2024-02-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.33,9.97,5.49,0,0,91,42,0
2024-02-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.54,9.95,5.49,1,0,134,48,0
2024-02-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.27,9.72,5.49,0,0,141,75,0
2024-02-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.29,9.6,5.49,0,0,139,52,0
2024-02-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.45,9.68,5.49,0,0,91,32,0
2024-02-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.82,9.88,5.49,0,0,136,61,0
2024-02-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.47,9.72,5.49,0,0,83,60,0
2024-02-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.82,9.64,5.49,0,0,89,35,0
2024-02-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.62,9.64,5.49,0,0,106,61,0
2024-02-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.87,9.6,5.49,0,0,70,46,0
2024-03-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.04,9.63,5.49,0,0,128,96,0
2024-03-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.98,9.42,5.49,0,0,108,92,0
2024-03-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.03,9.37,5.49,1,0,140,138,0
2024-03-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.47,9.42,5.49,0,0,84,59,0
2024-03-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.22,9.45,5.49,0,0,79,26,0
2024-03-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.84,9.46,5.49,0,0,71,43,0
2024-03-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.92,9.54,5.49,0,0,81,60,0
2024-03-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.58,9.65,5.49,0,0,129,67,0
2024-03-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.57,9.55,5.49,0,0,102,64,0
2024-03-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.84,9.38,5.49,0,0,125,73,0
2024-03-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.97,9.29,5.49,0,0,83,73,0
2024-03-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.29,9.44,5.49,0,0,75,57,0
2024-03-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.5,9.49,5.49,0,0,83,80,0
2024-03-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.63,9.36,5.49,0,0,85,61,0
2024-03-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.84,9.32,5.49,0,0,138,19,0
2024-03-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.59,9.26,5.49,0,0,127,85,0
2024-03-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.52,9.11,5.49,1,0,164,82,0
2024-03-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.37,9.0,5.49,0,0,90,54,0
2024-03-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.71,9.04,5.49,0,0,95,44,0
2024-03-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.69,9.18,5.49,0,0,108,54,0
2024-03-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.92,9.14,5.49,0,0,82,66,0
2024-03-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.7,9.29,5.49,0,0,120,42,0
2024-03-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.87,9.33,5.49,0,0,106,39,0
2024-03-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.3,9.45,5.49,0,0,98,77,0
2024-03-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.39,9.54,5.49,0,0,90,54,0
2024-03-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.88,9.6,5.49,0,0,108,50,0
2024-03-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.09,9.62,5.49,0,0,89,43,0
2024-03-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.58,9.67,5.49,0,0,76,32,0
2024-03-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.84,9.6,5.49,0,0,78,72,0
2024-03-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.65,9.43,5.49,0,0,101,48,0
2024-03-31,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.76,9.57,5.49,0,0,105,73,0
2024-04-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.36,9.74,5.49,0,0,88,40,0
2024-04-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.37,9.62,5.49,0,0,62,51,0
2024-04-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.46,9.59,5.49,0,0,117,46,0
2024-04-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.68,9.6,5.49,0,0,131,25,0
2024-04-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.71,9.65,5.49,0,0,103,54,0
2024-04-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.86,9.67,5.49,0,0,128,49,0
2024-04-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.61,9.55,5.49,0,0,151,60,0
2024-04-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.71,9.44,5.49,0,0,103,54,0
2024-04-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.99,9.35,5.49,0,0,58,40,0
2024-04-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.87,9.46,5.49,0,0,94,88,0
2024-04-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.35,9.31,5.49,1,0,120,53,0
2024-04-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.89,9.41,5.49,0,0,137,24,0
2024-04-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.37,9.56,5.49,0,0,150,80,0
2024-04-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.85,9.62,5.49,0,0,84,44,0
2024-04-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.16,9.69,5.49,0,0,85,37,0
2024-04-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.46,9.64,5.49,0,0,80,67,0
2024-04-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.96,9.57,5.49,0,0,107,45,0
2024-04-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.93,9.56,5.49,0,0,122,61,0
2024-04-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.75,9.56,5.49,0,0,124,67,0
2024-04-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.94,9.57,5.49,0,0,108,94,0
2024-04-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.98,9.33,5.49,0,0,121,53,0
2024-04-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.05,9.04,5.49,0,0,86,24,0
2024-04-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.12,8.91,5.49,0,0,108,55,0
2024-04-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.85,8.85,5.49,0,0,102,57,0
2024-04-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.29,8.65,5.49,0,0,126,47,0
2024-04-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.08,8.63,5.49,0,0,112,72,0
2024-04-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.22,8.73,5.49,0,0,98,40,0
2024-04-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.24,8.68,5.49,0,0,118,33,0
2024-04-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.78,8.82,5.49,0,0,85,75,0
2024-04-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.74,8.88,5.49,0,0,124,66,0
2024-05-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.08,8.89,5.49,0,0,75,42,0
2024-05-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.43,8.69,5.49,0,0,75,50,0
2024-05-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.77,8.64,5.49,0,0,110,58,0
2024-05-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.99,8.48,5.49,0,0,94,94,1
2024-05-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.81,8.46,5.49,0,0,97,40,0
2024-05-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.26,8.43,5.49,0,0,59,53,0
2024-05-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.83,8.47,5.49,0,0,83,57,0
2024-05-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.19,8.43,5.49,0,0,101,85,0
2024-05-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.55,8.47,5.49,0,0,110,58,0
2024-05-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.82,8.32,5.49,0,0,101,72,0
2024-05-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.83,8.18,5.49,0,0,106,82,0
2024-05-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.55,8.26,5.49,0,0,98,56,0
2024-05-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.96,8.15,5.49,1,0,148,62,0
2024-05-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.87,8.2,5.49,0,0,138,59,0
2024-05-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.46,8.04,5.49,0,0,135,58,0
2024-05-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.66,8.02,5.49,1,0,146,88,0
2024-05-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.96,7.86,5.49,0,0,138,72,0
2024-05-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.11,7.69,5.49,0,0,116,61,0
2024-05-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.2,7.63,5.49,0,0,104,51,0
2024-05-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.25,7.55,5.49,0,0,119,56,0
2024-05-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.04,7.55,5.49,0,0,85,47,0
2024-05-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.16,7.6,5.49,0,0,81,24,0
2024-05-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.34,7.47,5.49,0,0,113,75,0
2024-05-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.83,7.46,5.49,0,0,89,48,0
2024-05-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.84,7.43,5.49,0,0,99,60,0
2024-05-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.53,7.46,5.49,0,0,91,81,0
2024-05-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.69,7.55,5.49,1,0,150,84,0
2024-05-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.74,7.53,5.49,0,0,97,65,0
2024-05-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.98,7.52,5.49,0,0,135,64,0
2024-05-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.48,7.36,5.49,0,0,139,30,0
2024-05-31,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.34,7.38,5.49,0,0,87,67,0
2024-06-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.27,7.42,5.49,0,0,77,50,0
2024-06-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.5,7.37,5.49,0,0,110,46,0
2024-06-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.19,7.38,5.49,0,0,90,90,1
2024-06-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.95,7.41,5.49,0,0,87,68,0
2024-06-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.5,7.4,5.49,0,0,108,39,0
2024-06-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.12,7.34,5.49,0,0,71,44,0
2024-06-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.82,7.33,5.49,0,0,106,59,0
2024-06-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.16,7.3,5.49,0,0,111,53,0
2024-06-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.68,7.38,5.49,0,0,120,51,0
2024-06-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.65,7.29,5.49,0,0,88,40,0
2024-06-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.81,7.36,5.49,1,0,109,63,0
2024-06-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.8,7.39,5.49,0,0,92,77,0
2024-06-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.54,7.45,5.49,0,0,102,44,0
2024-06-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.04,7.42,5.49,0,0,80,49,0
2024-06-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.19,7.39,5.49,0,0,114,78,0
2024-06-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.42,7.22,5.49,0,0,93,54,0
2024-06-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.69,7.32,5.49,0,0,105,64,0
2024-06-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.83,7.36,5.49,0,0,88,41,0
2024-06-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.3,7.44,5.49,0,0,73,44,0
2024-06-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.62,7.5,5.49,0,0,95,67,0
2024-06-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.0,7.63,5.49,0,0,119,52,0
2024-06-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.7,7.57,5.49,0,0,106,37,0
2024-06-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.18,7.64,5.49,0,0,110,34,0
2024-06-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.34,7.69,5.49,0,0,69,21,0
2024-06-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.75,7.65,5.49,0,0,115,42,0
2024-06-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.51,7.37,5.49,0,0,91,38,0
2024-06-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.2,7.36,5.49,0,0,109,57,0
2024-06-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.02,7.48,5.49,0,0,126,46,0
2024-06-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.66,7.37,5.49,0,0,83,41,0
2024-06-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.6,7.39,5.49,0,0,136,65,0
2024-07-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.89,7.4,5.49,0,0,73,38,0
2024-07-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.18,7.48,5.49,0,0,81,76,0
2024-07-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.35,7.62,5.49,1,0,160,67,0
2024-07-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,6.66,7.65,5.49,1,0,164,91,0
2024-07-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.88,7.52,5.49,0,0,71,71,1
2024-07-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.31,7.67,5.49,1,0,139,103,0
2024-07-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.27,7.72,5.49,0,0,110,83,0
2024-07-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.87,7.79,5.49,0,0,69,51,0
2024-07-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.0,7.66,5.49,0,0,100,42,0
2024-07-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.53,7.66,5.49,0,0,93,35,0
2024-07-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.94,7.65,5.49,0,0,71,36,0
2024-07-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.48,7.65,5.49,0,0,94,22,0
2024-07-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.94,7.67,5.49,0,0,125,57,0
2024-07-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.14,7.68,5.49,0,0,115,70,0
2024-07-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.93,7.75,5.49,0,0,106,30,0
2024-07-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.76,7.83,5.49,1,0,122,69,0
2024-07-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.28,7.76,5.49,0,0,93,79,0
2024-07-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.49,7.98,5.49,0,0,107,39,0
2024-07-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.62,7.97,5.49,0,0,83,47,0
2024-07-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.88,7.98,5.49,1,0,116,85,0
2024-07-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.21,7.91,5.49,0,0,96,54,0
2024-07-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.34,7.84,5.49,0,0,70,54,0
2024-07-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.79,7.89,5.49,0,0,109,64,0
2024-07-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.71,7.87,5.49,0,0,86,53,0
2024-07-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.71,7.7,5.49,0,0,91,45,0
2024-07-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.7,7.8,5.49,0,0,119,59,0
2024-07-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.79,7.8,5.49,0,0,98,41,0
2024-07-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.88,7.7,5.49,0,0,103,82,0
2024-07-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.61,7.84,5.49,0,0,65,48,0
2024-07-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.57,7.89,5.49,0,0,88,45,0
2024-07-31,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.81,7.78,5.49,0,0,91,40,0
2024-08-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.1,7.82,5.49,0,0,68,13,0
2024-08-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.08,7.91,5.49,0,0,102,76,0
2024-08-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.14,8.01,5.49,0,0,99,66,0
2024-08-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.5,8.12,5.49,0,0,92,70,0
2024-08-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.94,8.07,5.49,1,0,124,48,0
2024-08-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.6,8.21,5.49,1,0,136,77,0
2024-08-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.33,8.32,5.49,0,0,89,21,0
2024-08-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.76,8.16,5.49,0,0,61,36,0
2024-08-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.81,7.96,5.49,0,0,89,40,0
2024-08-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.9,8.02,5.49,0,0,111,28,0
2024-08-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.69,8.17,5.49,0,0,98,85,0
2024-08-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.57,8.25,5.49,1,0,154,47,0
2024-08-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.21,8.24,5.49,0,0,84,58,0
2024-08-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.66,8.35,5.49,0,0,115,31,0
2024-08-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,7.92,8.34,5.49,1,0,146,78,0
2024-08-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.55,8.17,5.49,0,0,76,48,0
2024-08-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.26,8.28,5.49,0,0,97,67,0
2024-08-18,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.25,8.24,5.49,0,0,97,38,0
2024-08-19,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.21,8.14,5.49,0,0,78,41,0
2024-08-20,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.44,8.21,5.49,0,0,73,44,0
2024-08-21,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.23,8.26,5.49,1,0,136,44,0
2024-08-22,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.29,8.25,5.49,0,0,86,42,0
2024-08-23,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.77,8.2,5.49,0,0,104,55,0
2024-08-24,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.16,8.38,5.49,1,0,136,76,0
2024-08-25,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.66,8.4,5.49,0,0,115,65,0
2024-08-26,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.7,8.18,5.49,0,0,93,50,0
2024-08-27,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.82,8.27,5.49,0,0,78,52,0
2024-08-28,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.87,8.1,5.49,0,0,95,23,0
2024-08-29,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.82,8.21,5.49,0,0,87,52,0
2024-08-30,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.43,8.12,5.49,0,0,97,62,0
2024-08-31,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.62,8.07,5.49,0,0,92,74,0
2024-09-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.71,8.11,5.49,0,0,102,85,0
2024-09-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.28,8.28,5.49,0,0,79,41,0
2024-09-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.29,8.42,5.49,1,0,108,56,0
